country,countryname,party,year_min,year_max,abbrev,name,name_english,candidate_name,change_kind,change_rank,change_year_min,change_year_max,is_alliance,coalition_member_leading,coalition_member_1,coalition_member_2,coalition_member_3,coalition_member_4,coalition_member_5,coalition_member_6,coalition_member_7,coalition_member_8,coalition_member_9,coalition_member_10,coalition_member_11,coalition_member_12,coalition_member_13,coalition_member_14,coalition_member_15,coalition_member_16,coalition_member_17,coalition_member_18,coalition_member_19,successor,successor_2,predecessor,merger_of_1,merger_of_2,merger_of_3,merger_of_4,merger_of_5,merger_of_6,merger_of_7,split_from,joined_by_1,joined_by_2
11,Sweden,11110,1988,2018,MP,Miljöpartiet de Gröna,Green Ecology Party,NA,NA,0,1988,2018,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Sweden,11220,1944,2018,SKP,Sveriges Kommunistiska Parti,Communist Party of Sweden,NA,NA,0,1944,1966,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Sweden,11220,1944,2018,VPK,Vänsterpartiet Kommunisterna,Left Communists Party,NA,renamed,1,1967,1989,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Sweden,11220,1944,2018,V,Vänsterpartiet,Left Party,NA,renamed,2,1990,2018,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Sweden,11320,1944,2018,SAP,Socialdemokratiska Arbetareparti,Social Democratic Labour Party,NA,NA,0,1944,2018,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Sweden,11420,1944,2018,FP,Folkpartiet,People’s Party,NA,NA,0,1944,1989,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Sweden,11420,1944,2018,FP,Folkpartiet Liberalerna,Liberal People’s Party,NA,renamed,1,1990,2014,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Sweden,11420,1944,2018,L,Liberalerna,Liberals,NA,renamed,2,2015,2018,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Sweden,11520,1985,2018,KDS,Kristen Demokratisk Samling,Christian Democratic Coalition,NA,NA,0,1985,1986,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Sweden,11520,1985,2018,KdS,Kristdemokratiska Samhällspartiet,Christian Democratic Community Party,NA,renamed,1,1987,1997,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Sweden,11520,1985,2018,Kd,Kristdemokraterna,Christian Democrats,NA,renamed,2,1998,2018,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Sweden,11620,1944,2018,NA,Hogerpartiet,Right Party,NA,NA,0,1944,1968,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Sweden,11620,1944,2018,MSP,Moderata Samlingspartiet,Moderate Coalition Party,NA,renamed,1,1969,2018,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Sweden,11710,2010,2018,SD,Sverigedemokraterna,Sweden Democrats,NA,NA,0,2010,2018,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Sweden,11810,1944,2018,NA,Bondeforbundet,Agrarian Party,NA,NA,0,1944,1956,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Sweden,11810,1944,2018,CP,Centerpartiet,Centre Party,NA,renamed,1,1957,2018,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Sweden,11951,1991,1991,NyD,Ny Demokrati,New Democracy,NA,NA,0,1991,1991,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Norway,12110,2013,2017,MDG,Miljøpartiet De Grønna,Green Party,NA,NA,0,2013,2017,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Norway,12220,1945,1957,NKP,Norges Kommunistiske Parti,Norwegian Communist Party,NA,NA,0,1945,1957,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Norway,12221,1961,2017,NA,Sosialistisk Folkeparti,Socialist People’s Party,NA,NA,0,1961,1974,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
